sys_RespNum;Task;Concept;Attribute1;Attribute2;Attribute3;Attribute4;Response
1;1;1;3;3;3;3;1
1;1;2;2;1;2;1;0
1;2;1;1;3;3;2;1
1;2;2;3;1;1;3;0
1;3;1;3;2;1;1;1
1;3;2;2;3;2;2;0
1;4;1;2;2;2;2;1
1;4;2;1;3;2;3;0
1;5;1;1;2;2;1;1
1;5;2;1;2;2;1;0
1;6;1;3;1;2;2;0
1;6;2;3;2;2;2;1
1;7;1;2;1;1;2;0
1;7;2;3;2;1;3;1
1;8;1;1;2;3;1;0
1;8;2;1;3;2;2;1
1;9;1;2;3;3;2;1
1;9;2;2;1;1;1;0
1;10;1;3;2;3;3;0
1;10;2;3;3;2;3;1
1;11;1;2;1;1;1;0
1;11;2;2;3;3;3;1
1;12;1;2;2;1;1;1
1;12;2;1;3;2;1;0
1;13;1;3;3;1;2;1
1;13;2;2;3;1;2;0
1;14;1;3;2;3;2;0
1;14;2;1;3;1;3;1
1;15;1;2;2;2;2;0
1;15;2;1;1;2;3;1
1;16;1;2;2;1;2;0
1;16;2;1;1;2;1;1
1;17;1;1;3;3;2;1
1;17;2;1;2;2;2;0
1;18;1;3;3;1;3;1
1;18;2;3;3;1;1;0
1;19;1;2;1;1;1;1
1;19;2;2;3;2;1;0
1;20;1;2;2;2;3;1
1;20;2;2;1;1;1;0
1;21;1;1;1;2;1;0
1;21;2;3;1;3;3;1
2;1;1;2;3;2;3;1
2;1;2;1;1;1;3;0
2;2;1;1;2;3;1;0
2;2;2;3;2;2;1;1
2;3;1;2;1;1;1;0
2;3;2;1;2;3;1;1
2;4;1;2;2;3;2;1
2;4;2;1;3;3;2;0
2;5;1;2;3;1;2;1
2;5;2;2;3;1;2;0
2;6;1;1;1;2;1;1
2;6;2;1;2;1;3;0
2;7;1;2;1;2;2;0
2;7;2;3;1;1;1;1
2;8;1;2;2;1;1;0
2;8;2;1;3;2;3;1
2;9;1;2;3;1;3;1
2;9;2;2;3;2;2;0
2;10;1;3;3;3;2;0
2;10;2;1;3;1;3;1
2;11;1;3;3;2;1;1
2;11;2;3;3;1;2;0
2;12;1;1;2;1;2;1
2;12;2;3;2;2;1;0
2;13;1;3;1;2;1;1
2;13;2;1;1;3;3;0
2;14;1;1;3;1;3;1
